loge,emin,emax,crab_flux,photon_flux,energy_flux,sensitivity,regcoeff,nevents,npred
-1.1359784958807824,0.04999999999999999,0.10692345999911869,0.0018039041959575508,1.9958374205171506e-12,2.2315174237062555e-13,2.919638248511488e-13,0.9999992752082937,6386931.0,6337993.998256168
-0.8058754963143842,0.10692345999911869,0.22865252596366323,0.0010142145962266915,3.64325113974058e-13,8.710984281764028e-14,1.1397142868362574e-13,0.9999995878097544,2660402.0,2638410.8529522815
-0.475772496747986,0.22865252596366323,0.488966384271464,0.0007136948992329483,8.323757255853365e-14,4.255989292866265e-14,5.5683854370582736e-14,0.9999754078059154,822258.0,815422.9913462265
-0.14566949718158773,0.488966384271464,1.045639552591274,0.0005805897695293999,2.198486247106621e-14,2.403852815843969e-14,3.145115763099654e-14,0.9991478483576728,229063.0,227116.9998464617
0.1844335023848105,1.045639552591274,2.2360679774997894,0.0005356744011033953,6.58571340992105e-15,1.5398908803399514e-14,2.0147386101549744e-14,0.9982528081692741,57027.0,56556.999978404856
0.5145365019512083,2.2360679774997894,4.78176249895018,0.0006157281544658711,2.457754545037399e-15,1.2289341899556883e-14,1.6078939056361238e-14,0.9967690157969867,12908.0,12804.000060802857
0.8446395015176059,4.78176249895018,10.225651825635712,0.0007871423549022202,1.020117828856684e-15,1.0907957983119002e-14,1.4271585335765083e-14,0.9980178649767724,3173.0,3141.996948539062
1.1747425010840042,10.225651825635712,21.86724147886555,0.0028322750486379834,1.1917359573968995e-15,2.725060579144612e-14,3.5653726078317034e-14,0.8972353506791172,716.0,701.9849192056483
1.504845500650403,21.86724147886555,46.7624223911311,0.022793213360318258,3.113850324942422e-15,1.5226386547535484e-13,1.9921664101089784e-13,0.8632322512154336,202.0,143.88274348088578
1.8349485002168011,46.7624223911311,100.0,0.0076320980845294055,3.3851949256255304e-16,3.539857654100247e-14,4.63142420104074e-14,0.9960207481855855,164.0,160.99999060019763
