loge,emin,emax,crab_flux,photon_flux,energy_flux,sensitivity,regcoeff,nevents,npred
-1.1859784958807822,0.04999999999999999,0.08493232323171235,0.025280667867056617,2.2510266840482656e-11,2.297269130295419e-12,4.3241835339787845e-12,0.9999394596923024,54660.0,54256.19810716294
-0.9558754963143841,0.08493232323171235,0.14426999059072132,0.016638476811730068,6.763215513462478e-12,1.172431450188911e-12,2.2068849943470934e-12,0.9998935040299421,37403.0,37098.709269948165
-0.725772496747986,0.14426999059072132,0.24506370946974493,0.0122200617086581,2.267569571298231e-12,6.677253327434419e-13,1.2568692326868956e-12,0.9999435894878106,17965.0,17810.94956901934
-0.4956694971815878,0.24506370946974493,0.4162766037009365,0.010416650727850864,8.823946871894085e-13,4.413703110584808e-13,8.307978400513938e-13,0.9994740049321199,8063.0,7994.996180386824
-0.26556649761518974,0.4162766037009365,0.7071067811865475,0.00911998799180718,3.526765707678746e-13,2.996538356097212e-13,5.64042830136543e-13,0.9995943269673346,3219.0,3191.9937996593817
-0.03546349804879159,0.7071067811865475,1.201124433981431,0.009693708689352851,1.7112752444118102e-13,2.469824527207464e-13,4.6489871001723e-13,0.9982774022319724,1367.0,1355.9999295324217
0.19463950151760656,1.201124433981431,2.0402857733683692,0.01186463317106086,9.561626594374646e-14,2.3441263153497454e-13,4.4123835038423337e-13,0.9993548211868838,588.0,578.999953893855
0.42474250108400463,2.0402857733683692,3.4657242157757318,0.014810296934154027,5.448648483973503e-14,2.2690340915401047e-13,4.271036304489271e-13,0.9995556537366197,296.0,293.9958295834109
0.6548455006504028,3.4657242157757318,5.887040186524746,0.020741179126667904,3.483421496409287e-14,2.464116618097535e-13,4.638243018749234e-13,0.9858169096090308,149.0,147.98118198827686
0.8849485002168009,5.887040186524746,10.0,0.03588613746259333,2.7513564730730565e-14,3.306017072837091e-13,6.222964650021874e-13,0.9524346699200938,78.0,75.9997460941045
