#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     6.55083e-25
3.20917e+04     6.09653e-25
3.43293e+04     5.64775e-25
3.67228e+04     5.23482e-25
3.92833e+04     4.85342e-25
4.20222e+04     4.47813e-25
4.49522e+04     4.15723e-25
4.80864e+04     3.83639e-25
5.14391e+04     3.55175e-25
5.50257e+04     3.28268e-25
5.88622e+04     3.02714e-25
6.29663e+04     2.80253e-25
6.73566e+04     2.57906e-25
7.20529e+04     2.38766e-25
7.70767e+04     2.20177e-25
8.24507e+04     2.03134e-25
8.81995e+04     1.87775e-25
9.43491e+04     1.72625e-25
1.00927e+05     1.60032e-25
1.07964e+05     1.47480e-25
1.15492e+05     1.36376e-25
1.23545e+05     1.26101e-25
1.32159e+05     1.16337e-25
1.41373e+05     1.07998e-25
1.51230e+05     9.97430e-26
1.61774e+05     9.27246e-26
1.73054e+05     8.60228e-26
1.85120e+05     7.98718e-26
1.98027e+05     7.44394e-26
2.11834e+05     6.90848e-26
2.26604e+05     6.46528e-26
2.42404e+05     6.02796e-26
2.59305e+05     5.63892e-26
2.77385e+05     5.28565e-26
2.96725e+05     4.94803e-26
3.17414e+05     4.66279e-26
3.39545e+05     4.37948e-26
3.63219e+05     4.13393e-26
3.88544e+05     3.90047e-26
4.15635e+05     3.68179e-26
4.44614e+05     3.48800e-26
4.75614e+05     3.29548e-26
5.08776e+05     3.13188e-26
5.44249e+05     2.97071e-26
5.82196e+05     2.82278e-26
6.22789e+05     2.68548e-26
6.66212e+05     2.54974e-26
7.12663e+05     2.43167e-26
7.62352e+05     2.31273e-26
8.15506e+05     2.20457e-26
8.72366e+05     2.10046e-26
9.33191e+05     1.99947e-26
9.98256e+05     1.90753e-26
1.06786e+06     1.81462e-26
1.14231e+06     1.73021e-26
1.22196e+06     1.64605e-26
1.30716e+06     1.56510e-26
1.39830e+06     1.48821e-26
1.49579e+06     1.41018e-26
1.60008e+06     1.33958e-26
1.71165e+06     1.26752e-26
1.83099e+06     1.19916e-26
1.95865e+06     1.13255e-26
2.09522e+06     1.06620e-26
2.24130e+06     1.00460e-26
2.39757e+06     9.41792e-27
2.56474e+06     8.83366e-27
2.74356e+06     8.25405e-27
2.93486e+06     7.69031e-27
3.13948e+06     7.15888e-27
3.35838e+06     6.61901e-27
3.59254e+06     6.13097e-27
3.84302e+06     5.63847e-27
4.11097e+06     5.17363e-27
4.39760e+06     4.72681e-27
4.70422e+06     4.28051e-27
5.03221e+06     3.88384e-27
5.38308e+06     3.48442e-27
5.75841e+06     3.12520e-27
6.15990e+06     2.78063e-27
6.58939e+06     2.45346e-27
7.04883e+06     2.16392e-27
7.54030e+06     1.87659e-27
8.06603e+06     1.63629e-27
8.62843e+06     1.40108e-27
9.23003e+06     1.18744e-27
9.87358e+06     9.99965e-28
1.05620e+07     8.20793e-28
1.12984e+07     6.82275e-28
1.20862e+07     5.48551e-28
1.29289e+07     4.42912e-28
1.38303e+07     3.50485e-28
1.47946e+07     2.69692e-28
1.58262e+07     2.10981e-28
1.69296e+07     1.57084e-28
1.81100e+07     1.22311e-28
1.93727e+07     9.27552e-29
2.07234e+07     7.22225e-29
2.21683e+07     5.94811e-29
2.37140e+07     4.97824e-29
