#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	3.89500e-23
3.13539e+04	3.78292e-23
3.27688e+04	3.66578e-23
3.42476e+04	3.55599e-23
3.57932e+04	3.45384e-23
3.74085e+04	3.34708e-23
3.90967e+04	3.25578e-23
4.08611e+04	3.16271e-23
4.27051e+04	3.07118e-23
4.46323e+04	2.98990e-23
4.66465e+04	2.90496e-23
4.87516e+04	2.82743e-23
5.09517e+04	2.75178e-23
5.32511e+04	2.67379e-23
5.56543e+04	2.60614e-23
5.81659e+04	2.53544e-23
6.07908e+04	2.46788e-23
6.35342e+04	2.40472e-23
6.64015e+04	2.33872e-23
6.93981e+04	2.27956e-23
7.25299e+04	2.21942e-23
7.58031e+04	2.15910e-23
7.92240e+04	2.10391e-23
8.27993e+04	2.04623e-23
8.65359e+04	1.99210e-23
9.04412e+04	1.93906e-23
9.45227e+04	1.88391e-23
9.87884e+04	1.83498e-23
1.03247e+05	1.78384e-23
1.07906e+05	1.73346e-23
1.12776e+05	1.68510e-23
1.17865e+05	1.63455e-23
1.23184e+05	1.58777e-23
1.28743e+05	1.54028e-23
1.34553e+05	1.49213e-23
1.40626e+05	1.44765e-23
1.46972e+05	1.40117e-23
1.53604e+05	1.35682e-23
1.60536e+05	1.31337e-23
1.67781e+05	1.26797e-23
1.75353e+05	1.22736e-23
1.83267e+05	1.18500e-23
1.91537e+05	1.14324e-23
2.00181e+05	1.10376e-23
2.09215e+05	1.06250e-23
2.18656e+05	1.02382e-23
2.28524e+05	9.84715e-24
2.38837e+05	9.44826e-24
2.49616e+05	9.08175e-24
2.60880e+05	8.69871e-24
2.72654e+05	8.33089e-24
2.84958e+05	7.97287e-24
2.97818e+05	7.59870e-24
3.11258e+05	7.26387e-24
3.25305e+05	6.91702e-24
3.39985e+05	6.57450e-24
3.55329e+05	6.25608e-24
3.71364e+05	5.92329e-24
3.88123e+05	5.61821e-24
4.05639e+05	5.31532e-24
4.23945e+05	5.00493e-24
4.43077e+05	4.72507e-24
4.63072e+05	4.43257e-24
4.83970e+05	4.15604e-24
5.05811e+05	3.89501e-24
5.28638e+05	3.62220e-24
5.52495e+05	3.38698e-24
5.77428e+05	3.14633e-24
6.03487e+05	2.91024e-24
6.30721e+05	2.70038e-24
6.59185e+05	2.48105e-24
6.88933e+05	2.28587e-24
7.20024e+05	2.09744e-24
7.52518e+05	1.90431e-24
7.86478e+05	1.74571e-24
8.21971e+05	1.57995e-24
8.59065e+05	1.42543e-24
8.97834e+05	1.28516e-24
9.38352e+05	1.13856e-24
9.80699e+05	1.02072e-24
1.02496e+06	9.03145e-25
1.07121e+06	7.89551e-25
1.11955e+06	6.98150e-25
1.17008e+06	6.02625e-25
1.22288e+06	5.23994e-25
1.27807e+06	4.53508e-25
1.33575e+06	3.80878e-25
1.39603e+06	3.29567e-25
1.45903e+06	2.75940e-25
1.52487e+06	2.29456e-25
1.59369e+06	1.93671e-25
1.66561e+06	1.56271e-25
1.74078e+06	1.31130e-25
1.81934e+06	1.07883e-25
1.90144e+06	8.62583e-26
1.98725e+06	7.35372e-26
2.07693e+06	6.02420e-26
2.17066e+06	5.16048e-26
2.26862e+06	4.60395e-26
2.37100e+06	4.02230e-26
