#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	2.47370e-25
3.22788e+04	2.29579e-25
3.47308e+04	2.12364e-25
3.73690e+04	1.95889e-25
4.02076e+04	1.81455e-25
4.32619e+04	1.67324e-25
4.65481e+04	1.54259e-25
5.00840e+04	1.42463e-25
5.38884e+04	1.30967e-25
5.79819e+04	1.20705e-25
6.23863e+04	1.11128e-25
6.71253e+04	1.01830e-25
7.22242e+04	9.38264e-26
7.77105e+04	8.61202e-26
8.36135e+04	7.88192e-26
8.99649e+04	7.25067e-26
9.67988e+04	6.63673e-26
1.04152e+05	6.07656e-26
1.12063e+05	5.57550e-26
1.20576e+05	5.09077e-26
1.29735e+05	4.66563e-26
1.39590e+05	4.27275e-26
1.50193e+05	3.89492e-26
1.61602e+05	3.57561e-26
1.73878e+05	3.27013e-26
1.87086e+05	2.98436e-26
2.01297e+05	2.74119e-26
2.16588e+05	2.50659e-26
2.33041e+05	2.29584e-26
2.50743e+05	2.10988e-26
2.69789e+05	1.93158e-26
2.90283e+05	1.77778e-26
3.12334e+05	1.63673e-26
3.36059e+05	1.50218e-26
3.61586e+05	1.39030e-26
3.89053e+05	1.28350e-26
4.18606e+05	1.18438e-26
4.50404e+05	1.10041e-26
4.84618e+05	1.01979e-26
5.21430e+05	9.48216e-27
5.61039e+05	8.84856e-27
6.03656e+05	8.24035e-27
6.49511e+05	7.71399e-27
6.98849e+05	7.22776e-27
7.51935e+05	6.76190e-27
8.09053e+05	6.36994e-27
8.70510e+05	5.99103e-27
9.36635e+05	5.63454e-27
1.00778e+06	5.32553e-27
1.08434e+06	5.02384e-27
1.16670e+06	4.74660e-27
1.25533e+06	4.49323e-27
1.35069e+06	4.24545e-27
1.45329e+06	4.02335e-27
1.56368e+06	3.81229e-27
1.68246e+06	3.60550e-27
1.81026e+06	3.42277e-27
1.94777e+06	3.24163e-27
2.09573e+06	3.06582e-27
2.25492e+06	2.90480e-27
2.42621e+06	2.74410e-27
2.61051e+06	2.59115e-27
2.80881e+06	2.44590e-27
3.02217e+06	2.30070e-27
3.25174e+06	2.16527e-27
3.49875e+06	2.03356e-27
3.76452e+06	1.90219e-27
4.05048e+06	1.78159e-27
4.35816e+06	1.66120e-27
4.68921e+06	1.54359e-27
5.04541e+06	1.43438e-27
5.42867e+06	1.32507e-27
5.84104e+06	1.22090e-27
6.28474e+06	1.12237e-27
6.76213e+06	1.02433e-27
7.27580e+06	9.34322e-28
7.82848e+06	8.46939e-28
8.42314e+06	7.60062e-28
9.06298e+06	6.83372e-28
9.75142e+06	6.08083e-28
1.04922e+07	5.36526e-28
1.12892e+07	4.73325e-28
1.21467e+07	4.11826e-28
1.30694e+07	3.56347e-28
1.40622e+07	3.06787e-28
1.51303e+07	2.59207e-28
1.62797e+07	2.18146e-28
1.75163e+07	1.80873e-28
1.88469e+07	1.46036e-28
2.02785e+07	1.19358e-28
2.18189e+07	9.47663e-29
2.34763e+07	7.38498e-29
2.52596e+07	5.78265e-29
2.71783e+07	4.34801e-29
2.92428e+07	3.26716e-29
3.14642e+07	2.46753e-29
3.38543e+07	1.80684e-29
3.64259e+07	1.40975e-29
3.91928e+07	1.12758e-29
4.21700e+07	9.36365e-30
