#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     4.33653e-24
3.17205e+04     4.08918e-24
3.35396e+04     3.82974e-24
3.54630e+04     3.61523e-24
3.74968e+04     3.38842e-24
3.96471e+04     3.20173e-24
4.19208e+04     3.00600e-24
4.43249e+04     2.84204e-24
4.68669e+04     2.67329e-24
4.95546e+04     2.52951e-24
5.23965e+04     2.38421e-24
5.54014e+04     2.25811e-24
5.85785e+04     2.13291e-24
6.19379e+04     2.02243e-24
6.54900e+04     1.91472e-24
6.92457e+04     1.81801e-24
7.32168e+04     1.72538e-24
7.74157e+04     1.64055e-24
8.18554e+04     1.56051e-24
8.65496e+04     1.48623e-24
9.15131e+04     1.41761e-24
9.67612e+04     1.35256e-24
1.02310e+05     1.29308e-24
1.08178e+05     1.23561e-24
1.14381e+05     1.18358e-24
1.20941e+05     1.13246e-24
1.27877e+05     1.08674e-24
1.35210e+05     1.04108e-24
1.42964e+05     1.00066e-24
1.51163e+05     9.59635e-25
1.59832e+05     9.23450e-25
1.68998e+05     8.86236e-25
1.78690e+05     8.54032e-25
1.88938e+05     8.20418e-25
1.99773e+05     7.91198e-25
2.11230e+05     7.60313e-25
2.23343e+05     7.33688e-25
2.36152e+05     7.05536e-25
2.49695e+05     6.80777e-25
2.64014e+05     6.54943e-25
2.79155e+05     6.31749e-25
2.95164e+05     6.07844e-25
3.12091e+05     5.85974e-25
3.29989e+05     5.63680e-25
3.48914e+05     5.42824e-25
3.68923e+05     5.21735e-25
3.90080e+05     5.01800e-25
4.12451e+05     4.81871e-25
4.36104e+05     4.62822e-25
4.61114e+05     4.43986e-25
4.87558e+05     4.25746e-25
5.15519e+05     4.07873e-25
5.45083e+05     3.90350e-25
5.76343e+05     3.73324e-25
6.09395e+05     3.56457e-25
6.44343e+05     3.40229e-25
6.81295e+05     3.23918e-25
7.20366e+05     3.08246e-25
7.61678e+05     2.92411e-25
8.05359e+05     2.77509e-25
8.51545e+05     2.62302e-25
9.00380e+05     2.48150e-25
9.52015e+05     2.33574e-25
1.00661e+06     2.20223e-25
1.06434e+06     2.06337e-25
1.12538e+06     1.93840e-25
1.18992e+06     1.80701e-25
1.25816e+06     1.69075e-25
1.33031e+06     1.56783e-25
1.40660e+06     1.45769e-25
1.48727e+06     1.34190e-25
1.57256e+06     1.23944e-25
1.66274e+06     1.13329e-25
1.75810e+06     1.03927e-25
1.85892e+06     9.43444e-26
1.96553e+06     8.58184e-26
2.07825e+06     7.72832e-26
2.19743e+06     6.96537e-26
2.32345e+06     6.21716e-26
2.45670e+06     5.54584e-26
2.59758e+06     4.90361e-26
2.74655e+06     4.31481e-26
2.90406e+06     3.75912e-26
3.07061e+06     3.25314e-26
3.24670e+06     2.79665e-26
3.43289e+06     2.37769e-26
3.62976e+06     2.01413e-26
3.83792e+06     1.67864e-26
4.05802e+06     1.40343e-26
4.29074e+06     1.14445e-26
4.53681e+06     9.39670e-27
4.79699e+06     7.45160e-27
5.07209e+06     6.04512e-27
5.36297e+06     4.68445e-27
5.67052e+06     3.78707e-27
5.99572e+06     2.90039e-27
6.33956e+06     2.39384e-27
6.70313e+06     1.87969e-27
7.08754e+06     1.65552e-27
7.49400e+06     1.41850e-27
