#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     2.87931e-22
3.10816e+04     2.82117e-22
3.22023e+04     2.76560e-22
3.33633e+04     2.71254e-22
3.45662e+04     2.65757e-22
3.58125e+04     2.60279e-22
3.71037e+04     2.55227e-22
3.84414e+04     2.49992e-22
3.98274e+04     2.44577e-22
4.12634e+04     2.39719e-22
4.27511e+04     2.34686e-22
4.42925e+04     2.29472e-22
4.58894e+04     2.24627e-22
4.75439e+04     2.19786e-22
4.92581e+04     2.14771e-22
5.10341e+04     2.09938e-22
5.28741e+04     2.05284e-22
5.47805e+04     2.00463e-22
5.67555e+04     1.95641e-22
5.88018e+04     1.91146e-22
6.09219e+04     1.86488e-22
6.31184e+04     1.81669e-22
6.53941e+04     1.77336e-22
6.77519e+04     1.72846e-22
7.01946e+04     1.68194e-22
7.27255e+04     1.63883e-22
7.53476e+04     1.59580e-22
7.80642e+04     1.55122e-22
8.08788e+04     1.50846e-22
8.37948e+04     1.46752e-22
8.68160e+04     1.42510e-22
8.99461e+04     1.38257e-22
9.31891e+04     1.34260e-22
9.65489e+04     1.30119e-22
1.00030e+05     1.25835e-22
1.03636e+05     1.22025e-22
1.07373e+05     1.18078e-22
1.11244e+05     1.13988e-22
1.15255e+05     1.10219e-22
1.19411e+05     1.06465e-22
1.23716e+05     1.02575e-22
1.28177e+05     9.88484e-23
1.32798e+05     9.52865e-23
1.37586e+05     9.15962e-23
1.42546e+05     8.79255e-23
1.47686e+05     8.45712e-23
1.53011e+05     8.10960e-23
1.58527e+05     7.74995e-23
1.64243e+05     7.43883e-23
1.70165e+05     7.11648e-23
1.76300e+05     6.78252e-23
1.82656e+05     6.47782e-23
1.89242e+05     6.17569e-23
1.96065e+05     5.86267e-23
2.03134e+05     5.56798e-23
2.10458e+05     5.29212e-23
2.18046e+05     5.00631e-23
2.25907e+05     4.72473e-23
2.34052e+05     4.47611e-23
2.42491e+05     4.21853e-23
2.51234e+05     3.95194e-23
2.60292e+05     3.73136e-23
2.69677e+05     3.50283e-23
2.79400e+05     3.26606e-23
2.89473e+05     3.06067e-23
2.99910e+05     2.86108e-23
3.10723e+05     2.65429e-23
3.21926e+05     2.46473e-23
3.33533e+05     2.29302e-23
3.45559e+05     2.11513e-23
3.58017e+05     1.94158e-23
3.70926e+05     1.79399e-23
3.84299e+05     1.64108e-23
3.98155e+05     1.48280e-23
4.12510e+05     1.36213e-23
4.27383e+05     1.23710e-23
4.42792e+05     1.10757e-23
4.58757e+05     1.00279e-23
4.75297e+05     9.04053e-24
4.92434e+05     8.01761e-24
5.10188e+05     7.13230e-24
5.28583e+05     6.39087e-24
5.47641e+05     5.62272e-24
5.67385e+05     4.89439e-24
5.87842e+05     4.34370e-24
6.09037e+05     3.77316e-24
6.30995e+05     3.18244e-24
6.53745e+05     2.80782e-24
6.77316e+05     2.41969e-24
7.01736e+05     2.01757e-24
7.27037e+05     1.73782e-24
7.53250e+05     1.49410e-24
7.80408e+05     1.24159e-24
8.08545e+05     1.04692e-24
8.37697e+05     9.13139e-25
8.67900e+05     7.74533e-25
8.99191e+05     6.53857e-25
9.31611e+05     5.98682e-25
9.65200e+05     5.41518e-25
1.00000e+06     4.82292e-25
