#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     1.20681e-23
3.15368e+04     1.15457e-23
3.31522e+04     1.09967e-23
3.48505e+04     1.05244e-23
3.66357e+04     1.00560e-23
3.85124e+04     9.61863e-24
4.04852e+04     9.21796e-24
4.25590e+04     8.81432e-24
4.47391e+04     8.46991e-24
4.70309e+04     8.10786e-24
4.94401e+04     7.80356e-24
5.19726e+04     7.49441e-24
5.46350e+04     7.20972e-24
5.74336e+04     6.94105e-24
6.03757e+04     6.67563e-24
6.34685e+04     6.44382e-24
6.67196e+04     6.20013e-24
7.01374e+04     5.99696e-24
7.37302e+04     5.78533e-24
7.75070e+04     5.59320e-24
8.14773e+04     5.40719e-24
8.56510e+04     5.22568e-24
9.00385e+04     5.06086e-24
9.46508e+04     4.88923e-24
9.94993e+04     4.73959e-24
1.04596e+05     4.58229e-24
1.09954e+05     4.44022e-24
1.15587e+05     4.29896e-24
1.21508e+05     4.16220e-24
1.27732e+05     4.03359e-24
1.34275e+05     3.90162e-24
1.41153e+05     3.78359e-24
1.48384e+05     3.65951e-24
1.55985e+05     3.54707e-24
1.63975e+05     3.43256e-24
1.72375e+05     3.32246e-24
1.81205e+05     3.21612e-24
1.90487e+05     3.10804e-24
2.00245e+05     3.00762e-24
2.10502e+05     2.90205e-24
2.21285e+05     2.80695e-24
2.32621e+05     2.70840e-24
2.44537e+05     2.61456e-24
2.57063e+05     2.52218e-24
2.70231e+05     2.42951e-24
2.84074e+05     2.34223e-24
2.98626e+05     2.25056e-24
3.13923e+05     2.16768e-24
3.30004e+05     2.08056e-24
3.46908e+05     1.99823e-24
3.64679e+05     1.91573e-24
3.83359e+05     1.83376e-24
4.02997e+05     1.75503e-24
4.23641e+05     1.67343e-24
4.45342e+05     1.59945e-24
4.68155e+05     1.52169e-24
4.92136e+05     1.44963e-24
5.17346e+05     1.37657e-24
5.43847e+05     1.30559e-24
5.71705e+05     1.23735e-24
6.00991e+05     1.16771e-24
6.31777e+05     1.10440e-24
6.64140e+05     1.03784e-24
6.98161e+05     9.77923e-25
7.33924e+05     9.16428e-25
7.71520e+05     8.57553e-25
8.11041e+05     8.00144e-25
8.52587e+05     7.42752e-25
8.96261e+05     6.90859e-25
9.42172e+05     6.36309e-25
9.90435e+05     5.89581e-25
1.04117e+05     5.40916e-25
1.09450e+06     4.96645e-25
1.15057e+06     4.53821e-25
1.20951e+06     4.12260e-25
1.27147e+06     3.75138e-25
1.33660e+06     3.36534e-25
1.40506e+06     3.04901e-25
1.47704e+06     2.71647e-25
1.55270e+06     2.42626e-25
1.63224e+06     2.14241e-25
1.71585e+06     1.87872e-25
1.80375e+06     1.64740e-25
1.89614e+06     1.41369e-25
1.99327e+06     1.23169e-25
2.09538e+06     1.04036e-25
2.20272e+06     8.93703e-26
2.31555e+06     7.51164e-26
2.43416e+06     6.27818e-26
2.55886e+06     5.22930e-26
2.68993e+06     4.22132e-26
2.82773e+06     3.50894e-26
2.97258e+06     2.76008e-26
3.12485e+06     2.28368e-26
3.28492e+06     1.81294e-26
3.45319e+06     1.46946e-26
3.63008e+06     1.20794e-26
3.81603e+06     9.84824e-27
4.01151e+06     8.71535e-27
4.21700e+06     7.52444e-27
