#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	5.74531e-22
3.09914e+04	5.64180e-22
3.20157e+04	5.53487e-22
3.30737e+04	5.42440e-22
3.41668e+04	5.31906e-22
3.52959e+04	5.21607e-22
3.64624e+04	5.10968e-22
3.76674e+04	5.00072e-22
3.89122e+04	4.90245e-22
4.01982e+04	4.80092e-22
4.15267e+04	4.69604e-22
4.28991e+04	4.59551e-22
4.43168e+04	4.49889e-22
4.57814e+04	4.39909e-22
4.72944e+04	4.29598e-22
4.88574e+04	4.20343e-22
5.04721e+04	4.10808e-22
5.21401e+04	4.00957e-22
5.38632e+04	3.91376e-22
5.56433e+04	3.82245e-22
5.74822e+04	3.72812e-22
5.93819e+04	3.63067e-22
6.13444e+04	3.54236e-22
6.33717e+04	3.45251e-22
6.54660e+04	3.35970e-22
6.76295e+04	3.26811e-22
6.98646e+04	3.18128e-22
7.21735e+04	3.09158e-22
7.45587e+04	2.99891e-22
7.70227e+04	2.91423e-22
7.95682e+04	2.82924e-22
8.21978e+04	2.74145e-22
8.49143e+04	2.65446e-22
8.77205e+04	2.57443e-22
9.06195e+04	2.49175e-22
9.36144e+04	2.40634e-22
9.67082e+04	2.32787e-22
9.99042e+04	2.25037e-22
1.03206e+05	2.17030e-22
1.06617e+05	2.09012e-22
1.10140e+05	2.01789e-22
1.13780e+05	1.94326e-22
1.17540e+05	1.86617e-22
1.21425e+05	1.79502e-22
1.25438e+05	1.72607e-22
1.29583e+05	1.65484e-22
1.33866e+05	1.58256e-22
1.38290e+05	1.51830e-22
1.42860e+05	1.45191e-22
1.47581e+05	1.38333e-22
1.52458e+05	1.31979e-22
1.57497e+05	1.25969e-22
1.62702e+05	1.19759e-22
1.68079e+05	1.13385e-22
1.73634e+05	1.08015e-22
1.79372e+05	1.02469e-22
1.85300e+05	9.67386e-23
1.91424e+05	9.14122e-23
1.97750e+05	8.65345e-23
2.04285e+05	8.14955e-23
2.11037e+05	7.62900e-23
2.18011e+05	7.20125e-23
2.25216e+05	6.76523e-23
2.32659e+05	6.31480e-23
2.40348e+05	5.89327e-23
2.48291e+05	5.52208e-23
2.56496e+05	5.13861e-23
2.64973e+05	4.74247e-23
2.73730e+05	4.41380e-23
2.82776e+05	4.08668e-23
2.92122e+05	3.74875e-23
3.01776e+05	3.43025e-23
3.11749e+05	3.16513e-23
3.22052e+05	2.89125e-23
3.32695e+05	2.60831e-23
3.43690e+05	2.38265e-23
3.55048e+05	2.16791e-23
3.66782e+05	1.94608e-23
3.78903e+05	1.73546e-23
3.91426e+05	1.57579e-23
4.04361e+05	1.41084e-23
4.17725e+05	1.24045e-23
4.31530e+05	1.10562e-23
4.45791e+05	9.83884e-24
4.60524e+05	8.58129e-24
4.75743e+05	7.36595e-24
4.91466e+05	6.54542e-24
5.07708e+05	5.69777e-24
5.24487e+05	4.82211e-24
5.41820e+05	4.16495e-24
5.59726e+05	3.63840e-24
5.78224e+05	3.09446e-24
5.97334e+05	2.55636e-24
6.17075e+05	2.27210e-24
6.37468e+05	1.97845e-24
6.58535e+05	1.67510e-24
6.80298e+05	1.46946e-24
7.02781e+05	1.34997e-24
7.26007e+05	1.22653e-24
7.50000e+05	1.09901e-24
