#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	9.19697e-26
3.24671e+04	8.52176e-26
3.51370e+04	7.87808e-26
3.80266e+04	7.25966e-26
4.11537e+04	6.70457e-26
4.45380e+04	6.18674e-26
4.82007e+04	5.68977e-26
5.21645e+04	5.23666e-26
5.64543e+04	4.82173e-26
6.10969e+04	4.42366e-26
6.61213e+04	4.05574e-26
7.15588e+04	3.72765e-26
7.74435e+04	3.41330e-26
8.38122e+04	3.11736e-26
9.07045e+04	2.86008e-26
9.81637e+04	2.61387e-26
1.06236e+05	2.38004e-26
1.14973e+05	2.17801e-26
1.24428e+05	1.98671e-26
1.34660e+05	1.80532e-26
1.45734e+05	1.64657e-26
1.57719e+05	1.49971e-26
1.70689e+05	1.36058e-26
1.84726e+05	1.23683e-26
1.99917e+05	1.12530e-26
2.16357e+05	1.01985e-26
2.34149e+05	9.24539e-27
2.53405e+05	8.40943e-27
2.74244e+05	7.62009e-27
2.96796e+05	6.89420e-27
3.21204e+05	6.27458e-27
3.47618e+05	5.69020e-27
3.76205e+05	5.14459e-27
4.07143e+05	4.68992e-27
4.40625e+05	4.26306e-27
4.76860e+05	3.86524e-27
5.16075e+05	3.52859e-27
5.58515e+05	3.22045e-27
6.04445e+05	2.93317e-27
6.54152e+05	2.68463e-27
7.07947e+05	2.46249e-27
7.66165e+05	2.25492e-27
8.29172e+05	2.07116e-27
8.97360e+05	1.91202e-27
9.71155e+05	1.76320e-27
1.05102e+06	1.62826e-27
1.13745e+06	1.51282e-27
1.23099e+06	1.40413e-27
1.33222e+06	1.30307e-27
1.44178e+06	1.21841e-27
1.56034e+06	1.13787e-27
1.68866e+06	1.06193e-27
1.82753e+06	9.96840e-28
1.97782e+06	9.35505e-28
2.14047e+06	8.77061e-28
2.31649e+06	8.25034e-28
2.50699e+06	7.76716e-28
2.71315e+06	7.30303e-28
2.93627e+06	6.87623e-28
3.17774e+06	6.48327e-28
3.43906e+06	6.10195e-28
3.72188e+06	5.74115e-28
4.02795e+06	5.40868e-28
4.35919e+06	5.08236e-28
4.71768e+06	4.76514e-28
5.10564e+06	4.47558e-28
5.52551e+06	4.19016e-28
5.97990e+06	3.90983e-28
6.47167e+06	3.65361e-28
7.00387e+06	3.40093e-28
7.57984e+06	3.15076e-28
8.20318e+06	2.91766e-28
8.87777e+06	2.69271e-28
9.60785e+06	2.47110e-28
1.03980e+07	2.26189e-28
1.12530e+07	2.06431e-28
1.21784e+07	1.87089e-28
1.31800e+07	1.68772e-28
1.42638e+07	1.51723e-28
1.54368e+07	1.35103e-28
1.67063e+07	1.19233e-28
1.80801e+07	1.05201e-28
1.95670e+07	9.17372e-29
2.11761e+07	7.89276e-29
2.29175e+07	6.80117e-29
2.48022e+07	5.77811e-29
2.68418e+07	4.82216e-29
2.90492e+07	4.00387e-29
3.14381e+07	3.27387e-29
3.40234e+07	2.61094e-29
3.68214e+07	2.06934e-29
3.98494e+07	1.62463e-29
4.31264e+07	1.23647e-29
4.66730e+07	9.25611e-30
5.05112e+07	6.95348e-30
5.46650e+07	5.06121e-30
5.91605e+07	3.66597e-30
6.40256e+07	2.81877e-30
6.92908e+07	2.19728e-30
7.49890e+07	1.80944e-30
