#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	2.01383e-20
3.04547e+04	1.96948e-20
3.09162e+04	1.92445e-20
3.13848e+04	1.87874e-20
3.18604e+04	1.83233e-20
3.23433e+04	1.78523e-20
3.28335e+04	1.73741e-20
3.33311e+04	1.68886e-20
3.38363e+04	1.64793e-20
3.43491e+04	1.60790e-20
3.48696e+04	1.56726e-20
3.53981e+04	1.52601e-20
3.59346e+04	1.48413e-20
3.64792e+04	1.44161e-20
3.70321e+04	1.39846e-20
3.75933e+04	1.35646e-20
3.81631e+04	1.32148e-20
3.87415e+04	1.28598e-20
3.93286e+04	1.24994e-20
3.99247e+04	1.21335e-20
4.05297e+04	1.17620e-20
4.11440e+04	1.13850e-20
4.17676e+04	1.10022e-20
4.24006e+04	1.06614e-20
4.30432e+04	1.03568e-20
4.36955e+04	1.00475e-20
4.43578e+04	9.73360e-21
4.50300e+04	9.41490e-21
4.57125e+04	9.09137e-21
4.64053e+04	8.76294e-21
4.71086e+04	8.42953e-21
4.78226e+04	8.15818e-21
4.85473e+04	7.89152e-21
4.92831e+04	7.62081e-21
5.00300e+04	7.34600e-21
5.07883e+04	7.06702e-21
5.15580e+04	6.78382e-21
5.23394e+04	6.49632e-21
5.31326e+04	6.22237e-21
5.39379e+04	6.00428e-21
5.47553e+04	5.78288e-21
5.55852e+04	5.55813e-21
5.64276e+04	5.32997e-21
5.72828e+04	5.09835e-21
5.81510e+04	4.86322e-21
5.90323e+04	4.62453e-21
5.99270e+04	4.42284e-21
6.08352e+04	4.24806e-21
6.17572e+04	4.07064e-21
6.26932e+04	3.89053e-21
6.36433e+04	3.70769e-21
6.46079e+04	3.52207e-21
6.55870e+04	3.33365e-21
6.65811e+04	3.14237e-21
6.75901e+04	3.00674e-21
6.86145e+04	2.87395e-21
6.96544e+04	2.73915e-21
7.07101e+04	2.60231e-21
7.17817e+04	2.46340e-21
7.28696e+04	2.32238e-21
7.39740e+04	2.17922e-21
7.50951e+04	2.04697e-21
7.62332e+04	1.94843e-21
7.73886e+04	1.84840e-21
7.85615e+04	1.74685e-21
7.97521e+04	1.64377e-21
8.09608e+04	1.53912e-21
8.21878e+04	1.43289e-21
8.34334e+04	1.32505e-21
8.46979e+04	1.24209e-21
8.59816e+04	1.17457e-21
8.72847e+04	1.10603e-21
8.86075e+04	1.03644e-21
8.99504e+04	9.65804e-22
9.13137e+04	8.94095e-22
9.26976e+04	8.21299e-22
9.41025e+04	7.47400e-22
9.55287e+04	7.03806e-22
9.69765e+04	6.60814e-22
9.84462e+04	6.17170e-22
9.99382e+04	5.72865e-22
1.01453e+05	5.27888e-22
1.02990e+05	4.82230e-22
1.04551e+05	4.35879e-22
1.06136e+05	3.96371e-22
1.07744e+05	3.73362e-22
1.09377e+05	3.50003e-22
1.11035e+05	3.26291e-22
1.12718e+05	3.02220e-22
1.14426e+05	2.77783e-22
1.16160e+05	2.52976e-22
1.17921e+05	2.27794e-22
1.19708e+05	2.13082e-22
1.21522e+05	2.03935e-22
1.23364e+05	1.94650e-22
1.25234e+05	1.85224e-22
1.27132e+05	1.75655e-22
1.29058e+05	1.65941e-22
1.31014e+05	1.56079e-22
1.33000e+05	1.46069e-22
