#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	2.20845e-21
3.08119e+04	2.16769e-21
3.16459e+04	2.12582e-21
3.25024e+04	2.08282e-21
3.33820e+04	2.03866e-21
3.42855e+04	1.99824e-21
3.52135e+04	1.95765e-21
3.61665e+04	1.91597e-21
3.71453e+04	1.87315e-21
3.81507e+04	1.83200e-21
3.91832e+04	1.79223e-21
4.02437e+04	1.75139e-21
4.13329e+04	1.70945e-21
4.24516e+04	1.66770e-21
4.36005e+04	1.62955e-21
4.47806e+04	1.59036e-21
4.59926e+04	1.55011e-21
4.72373e+04	1.50878e-21
4.85158e+04	1.47191e-21
4.98289e+04	1.43460e-21
5.11775e+04	1.39627e-21
5.25626e+04	1.35691e-21
5.39852e+04	1.32016e-21
5.54463e+04	1.28490e-21
5.69470e+04	1.24869e-21
5.84882e+04	1.21150e-21
6.00712e+04	1.17505e-21
6.16970e+04	1.14195e-21
6.33669e+04	1.10795e-21
6.50819e+04	1.07304e-21
6.68433e+04	1.03718e-21
6.86524e+04	1.00611e-21
7.05105e+04	9.74339e-22
7.24189e+04	9.41705e-22
7.43789e+04	9.08189e-22
7.63919e+04	8.77207e-22
7.84595e+04	8.47129e-22
8.05830e+04	8.16237e-22
8.27639e+04	7.84509e-22
8.50039e+04	7.54006e-22
8.73046e+04	7.26503e-22
8.96674e+04	6.98255e-22
9.20943e+04	6.69243e-22
9.45868e+04	6.39700e-22
9.71468e+04	6.14888e-22
9.97761e+04	5.89404e-22
1.02476e+05	5.63230e-22
1.05250e+05	5.36348e-22
1.08099e+05	5.12831e-22
1.11024e+05	4.90186e-22
1.14029e+05	4.66927e-22
1.17115e+05	4.43038e-22
1.20285e+05	4.20745e-22
1.23541e+05	4.00953e-22
1.26884e+05	3.80625e-22
1.30318e+05	3.59747e-22
1.33845e+05	3.38857e-22
1.37468e+05	3.21875e-22
1.41188e+05	3.04433e-22
1.45010e+05	2.86519e-22
1.48934e+05	2.68121e-22
1.52965e+05	2.52652e-22
1.57105e+05	2.37632e-22
1.61357e+05	2.22205e-22
1.65724e+05	2.06361e-22
1.70210e+05	1.92190e-22
1.74816e+05	1.79861e-22
1.79548e+05	1.67199e-22
1.84407e+05	1.54194e-22
1.89398e+05	1.41533e-22
1.94524e+05	1.31791e-22
1.99789e+05	1.21785e-22
2.05196e+05	1.11509e-22
2.10750e+05	1.00954e-22
2.16454e+05	9.31804e-23
2.22312e+05	8.56740e-23
2.28329e+05	7.79644e-23
2.34509e+05	7.00462e-23
2.40856e+05	6.34197e-23
2.47374e+05	5.78342e-23
2.54069e+05	5.20976e-23
2.60946e+05	4.62057e-23
2.68008e+05	4.07377e-23
2.75262e+05	3.69485e-23
2.82712e+05	3.30567e-23
2.90363e+05	2.90596e-23
2.98222e+05	2.49543e-23
3.06293e+05	2.24640e-23
3.14583e+05	2.00311e-23
3.23097e+05	1.75323e-23
3.31842e+05	1.49659e-23
3.40823e+05	1.31691e-23
3.50048e+05	1.18399e-23
3.59522e+05	1.04746e-23
3.69252e+05	9.07246e-24
3.79246e+05	7.91994e-24
3.89510e+05	7.38157e-24
4.00052e+05	6.82864e-24
4.10880e+05	6.26074e-24
4.22000e+05	5.67747e-24
