#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     1.48298e-25
3.23728e+04     1.37061e-25
3.49333e+04     1.26669e-25
3.76964e+04     1.17227e-25
4.06779e+04     1.08062e-25
4.38953e+04     9.96206e-26
4.73672e+04     9.19476e-26
5.11136e+04     8.45314e-26
5.51564e+04     7.77816e-26
5.95190e+04     7.16151e-26
6.42266e+04     6.56666e-26
6.93066e+04     6.03063e-26
7.47883e+04     5.53977e-26
8.07036e+04     5.06736e-26
8.70868e+04     4.64462e-26
9.39749e+04     4.25620e-26
1.01408e+05     3.88345e-26
1.09429e+05     3.55351e-26
1.18084e+05     3.24934e-26
1.27423e+05     2.95820e-26
1.37502e+05     2.70292e-26
1.48377e+05     2.46703e-26
1.60113e+05     2.24205e-26
1.72777e+05     2.04690e-26
1.86443e+05     1.86607e-26
2.01190e+05     1.69425e-26
2.17103e+05     1.54684e-26
2.34274e+05     1.40965e-26
2.52804e+05     1.27964e-26
2.72799e+05     1.16936e-26
2.94376e+05     1.06641e-26
3.17659e+05     9.69239e-27
3.42784e+05     8.87898e-27
3.69897e+05     8.11698e-27
3.99153e+05     7.40039e-27
4.30724e+05     6.80415e-27
4.64792e+05     6.24137e-27
5.01554e+05     5.71200e-27
5.41224e+05     5.27463e-27
5.84032e+05     4.85886e-27
6.30226e+05     4.46923e-27
6.80073e+05     4.15059e-27
7.33863e+05     3.84659e-27
7.91907e+05     3.56290e-27
8.54542e+05     3.32479e-27
9.22132e+05     3.09769e-27
9.95067e+05     2.88712e-27
1.07377e+06     2.70846e-27
1.15870e+06     2.53660e-27
1.25035e+06     2.37589e-27
1.34924e+06     2.23735e-27
1.45596e+06     2.10357e-27
1.57112e+06     1.97834e-27
1.69538e+06     1.86774e-27
1.82948e+06     1.76049e-27
1.97418e+06     1.66016e-27
2.13033e+06     1.56985e-27
2.29882e+06     1.48173e-27
2.48065e+06     1.39888e-27
2.67685e+06     1.32256e-27
2.88857e+06     1.24729e-27
3.11704e+06     1.17566e-27
3.36358e+06     1.10880e-27
3.62962e+06     1.04259e-27
3.91671e+06     9.79536e-28
4.22650e+06     9.20055e-28
4.56079e+06     8.61124e-28
4.92152e+06     8.05347e-28
5.31078e+06     7.51920e-28
5.73083e+06     6.98716e-28
6.18411e+06     6.48352e-28
6.67324e+06     6.00319e-28
7.20105e+06     5.52645e-28
7.77061e+06     5.07716e-28
8.38522e+06     4.64966e-28
9.04845e+06     4.22802e-28
9.76413e+06     3.83796e-28
1.05364e+07     3.46498e-28
1.13698e+07     3.09767e-28
1.22691e+07     2.76256e-28
1.32395e+07     2.44801e-28
1.42866e+07     2.14351e-28
1.54166e+07     1.87379e-28
1.66360e+07     1.62352e-28
1.79518e+07     1.38494e-28
1.93717e+07     1.18102e-28
2.09039e+07     9.92470e-29
2.25573e+07     8.14712e-29
2.43414e+07     6.69499e-29
2.62667e+07     5.39901e-29
2.83442e+07     4.22853e-29
3.05861e+07     3.35161e-29
3.30053e+07     2.58472e-29
3.56158e+07     1.91562e-29
3.84328e+07     1.45790e-29
4.14726e+07     1.08026e-29
4.47529e+07     7.80541e-30
4.82926e+07     6.09945e-30
5.21122e+07     4.81917e-30
5.62340e+07     3.99174e-30
