#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	1.05071e-24
3.19985e+04	9.73949e-25
3.41302e+04	9.06647e-25
3.64039e+04	8.41061e-25
3.88291e+04	7.80795e-25
4.14158e+04	7.25044e-25
4.41748e+04	6.71149e-25
4.71177e+04	6.23973e-25
5.02565e+04	5.76334e-25
5.36045e+04	5.36272e-25
5.71756e+04	4.96030e-25
6.09845e+04	4.60528e-25
6.50472e+04	4.26722e-25
6.93805e+04	3.95356e-25
7.40025e+04	3.67106e-25
7.89324e+04	3.39425e-25
8.41907e+04	3.15941e-25
8.97993e+04	2.92249e-25
9.57816e+04	2.72270e-25
1.02162e+05	2.52634e-25
1.08968e+05	2.35174e-25
1.16227e+05	2.18974e-25
1.23970e+05	2.03772e-25
1.32229e+05	1.90460e-25
1.41038e+05	1.77201e-25
1.50433e+05	1.66271e-25
1.60455e+05	1.55220e-25
1.71144e+05	1.45729e-25
1.82546e+05	1.36564e-25
1.94706e+05	1.28237e-25
2.07677e+05	1.20702e-25
2.21512e+05	1.13515e-25
2.36269e+05	1.07338e-25
2.52009e+05	1.01124e-25
2.68797e+05	9.59287e-26
2.86704e+05	9.07155e-26
3.05804e+05	8.60949e-26
3.26176e+05	8.16827e-26
3.47905e+05	7.75539e-26
3.71082e+05	7.38238e-26
3.95802e+05	7.01507e-26
4.22170e+05	6.69745e-26
4.50294e+05	6.37469e-26
4.80292e+05	6.09155e-26
5.12288e+05	5.80975e-26
5.46415e+05	5.54975e-26
5.82817e+05	5.30138e-26
6.21643e+05	5.06051e-26
6.63055e+05	4.83942e-26
7.07227e+05	4.61470e-26
7.54341e+05	4.41716e-26
8.04594e+05	4.21420e-26
8.58194e+05	4.02704e-26
9.15365e+05	3.84097e-26
9.76345e+05	3.66235e-26
1.04139e+06	3.49088e-26
1.11076e+06	3.31961e-26
1.18476e+06	3.16085e-26
1.26369e+06	2.99760e-26
1.34787e+06	2.84873e-26
1.43766e+06	2.69669e-26
1.53344e+06	2.55312e-26
1.63559e+06	2.41091e-26
1.74455e+06	2.27109e-26
1.86077e+06	2.13778e-26
1.98473e+06	2.00250e-26
2.11695e+06	1.87908e-26
2.25798e+06	1.75217e-26
2.40840e+06	1.63564e-26
2.56884e+06	1.51839e-26
2.73997e+06	1.40699e-26
2.92250e+06	1.29959e-26
3.11720e+06	1.19421e-26
3.32486e+06	1.09578e-26
3.54635e+06	9.94934e-27
3.78260e+06	9.07090e-27
4.03459e+06	8.17397e-27
4.30337e+06	7.36933e-27
4.59005e+06	6.58634e-27
4.89583e+06	5.85774e-27
5.22198e+06	5.18931e-27
5.56986e+06	4.54043e-27
5.94091e+06	3.98621e-27
6.33669e+06	3.42859e-27
6.75882e+06	2.96008e-27
7.20908e+06	2.49866e-27
7.68934e+06	2.10763e-27
8.20159e+06	1.75141e-27
8.74796e+06	1.43532e-27
9.33073e+06	1.17634e-27
9.95233e+06	9.32955e-28
1.06153e+07	7.53246e-28
1.13225e+07	5.78444e-28
1.20768e+07	4.56779e-28
1.28813e+07	3.47264e-28
1.37394e+07	2.68389e-28
1.46547e+07	2.07893e-28
1.56310e+07	1.61757e-28
1.66723e+07	1.35598e-28
1.77830e+07	1.14209e-28
