#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	1.67545e-24
3.19056e+04	1.56607e-24
3.39323e+04	1.45514e-24
3.60877e+04	1.35810e-24
3.83801e+04	1.26277e-24
4.08180e+04	1.17711e-24
4.34109e+04	1.09551e-24
4.61684e+04	1.01970e-24
4.91010e+04	9.49996e-25
5.22200e+04	8.83309e-25
5.55371e+04	8.24147e-25
5.90649e+04	7.65658e-25
6.28167e+04	7.15644e-25
6.68069e+04	6.64448e-25
7.10506e+04	6.22359e-25
7.55638e+04	5.79015e-25
8.03637e+04	5.42645e-25
8.54685e+04	5.06297e-25
9.08976e+04	4.74672e-25
9.66715e+04	4.44085e-25
1.02812e+05	4.16567e-25
1.09343e+05	3.90864e-25
1.16289e+05	3.66978e-25
1.23675e+05	3.45443e-25
1.31531e+05	3.24722e-25
1.39886e+05	3.06621e-25
1.48772e+05	2.88536e-25
1.58222e+05	2.73446e-25
1.68273e+05	2.57974e-25
1.78962e+05	2.45194e-25
1.90330e+05	2.32125e-25
2.02420e+05	2.20886e-25
2.15278e+05	2.09729e-25
2.28952e+05	1.99783e-25
2.43496e+05	1.90200e-25
2.58963e+05	1.81367e-25
2.75413e+05	1.73110e-25
2.92907e+05	1.65248e-25
3.11513e+05	1.58101e-25
3.31301e+05	1.51060e-25
3.52345e+05	1.44763e-25
3.74727e+05	1.38332e-25
3.98530e+05	1.32703e-25
4.23845e+05	1.26870e-25
4.50768e+05	1.21710e-25
4.79401e+05	1.16438e-25
5.09854e+05	1.11651e-25
5.42240e+05	1.06883e-25
5.76684e+05	1.02448e-25
6.13316e+05	9.80921e-26
6.52274e+05	9.38712e-26
6.93708e+05	8.98100e-26
7.37773e+05	8.57787e-26
7.84637e+05	8.19884e-26
8.34478e+05	7.81415e-26
8.87485e+05	7.46042e-26
9.43859e+05	7.09305e-26
1.00381e+06	6.76214e-26
1.06758e+06	6.41730e-26
1.13539e+06	6.09927e-26
1.20751e+06	5.77343e-26
1.28422e+06	5.46368e-26
1.36579e+06	5.15409e-26
1.45255e+06	4.85703e-26
1.54482e+06	4.56700e-26
1.64294e+06	4.28330e-26
1.74731e+06	4.01255e-26
1.85830e+06	3.74181e-26
1.97634e+06	3.48993e-26
2.10188e+06	3.23251e-26
2.23539e+06	3.00078e-26
2.37739e+06	2.76023e-26
2.52840e+06	2.54378e-26
2.68901e+06	2.32103e-26
2.85982e+06	2.12113e-26
3.04148e+06	1.92114e-26
3.23468e+06	1.73846e-26
3.44015e+06	1.56161e-26
3.65867e+06	1.39708e-26
3.89107e+06	1.24378e-26
4.13824e+06	1.09806e-26
4.40111e+06	9.68150e-27
4.68067e+06	8.41376e-27
4.97799e+06	7.31907e-27
5.29420e+06	6.21038e-27
5.63049e+06	5.33197e-27
5.98815e+06	4.43572e-27
6.36853e+06	3.74001e-27
6.77306e+06	3.05326e-27
7.20330e+06	2.52121e-27
7.66086e+06	2.02189e-27
8.14749e+06	1.61988e-27
8.66502e+06	1.27180e-27
9.21544e+06	9.91208e-28
9.80081e+06	7.71945e-28
1.04234e+07	5.91319e-28
1.10855e+07	4.69135e-28
1.17896e+07	3.64672e-28
1.25385e+07	3.11495e-28
1.33350e+07	2.63911e-28
