#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	7.41247e-23
3.12628e+04	7.21764e-23
3.25788e+04	7.04337e-23
3.39502e+04	6.87283e-23
3.53794e+04	6.69511e-23
3.68686e+04	6.54134e-23
3.84206e+04	6.38337e-23
4.00379e+04	6.22280e-23
4.17233e+04	6.08051e-23
4.34796e+04	5.93223e-23
4.53099e+04	5.78688e-23
4.72172e+04	5.65283e-23
4.92048e+04	5.51314e-23
5.12760e+04	5.38103e-23
5.34345e+04	5.25426e-23
5.56838e+04	5.12216e-23
5.80278e+04	5.00158e-23
6.04705e+04	4.88126e-23
6.30159e+04	4.75588e-23
6.56686e+04	4.64502e-23
6.84329e+04	4.53004e-23
7.13135e+04	4.41342e-23
7.43155e+04	4.30664e-23
7.74437e+04	4.19536e-23
8.07037e+04	4.08577e-23
8.41009e+04	3.98178e-23
8.76411e+04	3.87343e-23
9.13303e+04	3.76989e-23
9.51749e+04	3.66848e-23
9.91812e+04	3.56280e-23
1.03356e+05	3.46478e-23
1.07707e+05	3.36565e-23
1.12241e+05	3.26252e-23
1.16966e+05	3.16971e-23
1.21889e+05	3.07299e-23
1.27020e+05	2.97540e-23
1.32367e+05	2.88526e-23
1.37939e+05	2.79133e-23
1.43745e+05	2.69965e-23
1.49796e+05	2.61259e-23
1.56102e+05	2.52187e-23
1.62673e+05	2.43528e-23
1.69521e+05	2.34968e-23
1.76657e+05	2.26049e-23
1.84093e+05	2.17901e-23
1.91842e+05	2.09627e-23
1.99918e+05	2.01071e-23
2.08333e+05	1.93391e-23
2.17103e+05	1.85389e-23
2.26242e+05	1.77378e-23
2.35765e+05	1.69991e-23
2.45690e+05	1.62293e-23
2.56032e+05	1.54867e-23
2.66810e+05	1.47822e-23
2.78041e+05	1.40481e-23
2.89745e+05	1.33689e-23
3.01942e+05	1.27035e-23
3.14652e+05	1.20100e-23
3.27897e+05	1.13868e-23
3.41700e+05	1.07508e-23
3.56084e+05	1.00991e-23
3.71073e+05	9.53303e-24
3.86693e+05	8.94318e-24
4.02971e+05	8.36398e-24
4.19934e+05	7.84558e-24
4.37611e+05	7.30535e-24
4.56032e+05	6.80084e-24
4.75228e+05	6.33331e-24
4.95233e+05	5.84609e-24
5.16079e+05	5.41713e-24
5.37804e+05	5.00232e-24
5.60442e+05	4.57005e-24
5.84034e+05	4.21481e-24
6.08619e+05	3.85287e-24
6.34238e+05	3.48690e-24
6.60936e+05	3.18237e-24
6.88758e+05	2.86502e-24
7.17751e+05	2.56422e-24
7.47965e+05	2.31071e-24
7.79450e+05	2.04654e-24
8.12261e+05	1.81472e-24
8.46452e+05	1.61015e-24
8.82084e+05	1.39698e-24
9.19215e+05	1.22945e-24
9.57909e+05	1.07314e-24
9.98232e+05	9.10258e-25
1.04025e+06	7.95149e-25
1.08404e+06	6.77464e-25
1.12967e+06	5.62969e-25
1.17723e+06	4.84616e-25
1.22678e+06	4.02965e-25
1.27842e+06	3.31890e-25
1.33224e+06	2.81510e-25
1.38832e+06	2.29009e-25
1.44676e+06	1.90511e-25
1.50766e+06	1.62166e-25
1.57112e+06	1.32628e-25
1.63726e+06	1.17025e-25
1.70618e+06	1.04830e-25
1.77800e+06	9.21213e-26
