#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     1.44842e-22
3.11722e+04     1.41883e-22
3.23903e+04     1.38809e-22
3.36559e+04     1.35677e-22
3.49710e+04     1.32904e-22
3.63375e+04     1.30024e-22
3.77574e+04     1.27086e-22
3.92328e+04     1.24486e-22
4.07658e+04     1.21785e-22
4.23587e+04     1.19025e-22
4.40139e+04     1.16549e-22
4.57337e+04     1.13976e-22
4.75207e+04     1.11342e-22
4.93776e+04     1.08952e-22
5.13070e+04     1.06468e-22
5.33118e+04     1.03924e-22
5.53950e+04     1.01621e-22
5.75595e+04     9.92292e-23
5.98086e+04     9.67770e-23
6.21456e+04     9.45489e-23
6.45740e+04     9.22337e-23
6.70972e+04     8.98605e-23
6.97190e+04     8.77165e-23
7.24433e+04     8.54886e-23
7.52740e+04     8.32031e-23
7.82153e+04     8.11328e-23
8.12715e+04     7.89815e-23
8.44472e+04     7.67731e-23
8.77470e+04     7.47706e-23
9.11756e+04     7.26898e-23
9.47383e+04     7.05527e-23
9.84402e+04     6.86163e-23
1.02287e+05     6.66043e-23
1.06284e+05     6.45371e-23
1.10437e+05     6.26691e-23
1.14752e+05     6.07282e-23
1.19236e+05     5.87306e-23
1.23895e+05     5.68952e-23
1.28736e+05     5.49882e-23
1.33766e+05     5.30276e-23
1.38993e+05     5.12681e-23
1.44424e+05     4.94398e-23
1.50068e+05     4.75591e-23
1.55932e+05     4.58696e-23
1.62025e+05     4.41141e-23
1.68356e+05     4.23082e-23
1.74934e+05     4.07026e-23
1.81770e+05     3.90342e-23
1.88872e+05     3.73179e-23
1.96252e+05     3.58066e-23
2.03921e+05     3.42362e-23
2.11889e+05     3.26198e-23
2.20169e+05     3.11991e-23
2.28772e+05     2.97229e-23
2.37711e+05     2.82016e-23
2.46999e+05     2.68478e-23
2.56651e+05     2.54412e-23
2.66680e+05     2.39930e-23
2.77100e+05     2.27476e-23
2.87928e+05     2.14535e-23
2.99178e+05     2.01211e-23
3.10869e+05     1.89928e-23
3.23016e+05     1.78205e-23
3.35638e+05     1.66131e-23
3.48753e+05     1.56036e-23
3.62380e+05     1.45547e-23
3.76540e+05     1.34741e-23
3.91253e+05     1.25844e-23
4.06541e+05     1.16599e-23
4.22427e+05     1.07074e-23
4.38933e+05     9.93971e-24
4.56084e+05     9.14201e-24
4.73906e+05     8.31924e-24
4.92423e+05     7.65111e-24
5.11665e+05     6.95687e-24
5.31658e+05     6.24107e-24
5.52432e+05     5.68975e-24
5.74019e+05     5.11688e-24
5.96448e+05     4.52602e-24
6.19754e+05     4.08648e-24
6.43971e+05     3.62977e-24
6.69134e+05     3.15860e-24
6.95280e+05     2.82632e-24
7.22448e+05     2.48106e-24
7.50678e+05     2.12449e-24
7.80010e+05     1.87583e-24
8.10489e+05     1.61745e-24
8.42159e+05     1.35050e-24
8.75066e+05     1.17967e-24
9.09259e+05     1.00215e-24
9.44788e+05     8.18581e-25
9.81706e+05     7.10136e-25
1.02007e+06     5.97453e-25
1.05992e+06     4.80796e-25
1.10134e+06     4.20097e-25
1.14438e+06     3.57027e-25
1.18909e+06     2.91641e-25
1.23556e+06     2.65945e-25
1.28383e+06     2.39245e-25
1.33400e+06     2.11501e-25
