#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     2.67909e-24
3.18130e+04     2.49687e-24
3.37356e+04     2.34215e-24
3.57744e+04     2.18335e-24
3.79364e+04     2.04816e-24
4.02290e+04     1.91068e-24
4.26602e+04     1.79277e-24
4.52383e+04     1.67395e-24
4.79723e+04     1.57116e-24
5.08714e+04     1.46857e-24
5.39458e+04     1.37919e-24
5.72059e+04     1.29085e-24
6.06631e+04     1.21325e-24
6.43292e+04     1.13744e-24
6.82169e+04     1.07062e-24
7.23395e+04     1.00587e-24
7.67113e+04     9.48043e-25
8.13472e+04     8.92602e-25
8.62634e+04     8.42680e-25
9.14766e+04     7.95288e-25
9.70049e+04     7.52193e-25
1.02867e+05     7.11466e-25
1.09084e+05     6.73785e-25
1.15676e+05     6.38938e-25
1.22667e+05     6.06848e-25
1.30080e+05     5.77052e-25
1.37942e+05     5.48914e-25
1.46278e+05     5.23119e-25
1.55118e+05     4.98590e-25
1.64493e+05     4.76227e-25
1.74434e+05     4.54685e-25
1.84975e+05     4.35096e-25
1.96154e+05     4.15963e-25
2.08008e+05     3.98677e-25
2.20579e+05     3.81614e-25
2.33910e+05     3.66345e-25
2.48046e+05     3.51135e-25
2.63036e+05     3.37391e-25
2.78932e+05     3.23487e-25
2.95789e+05     3.11059e-25
3.13665e+05     2.98392e-25
3.32621e+05     2.87071e-25
3.52723e+05     2.75415e-25
3.74039e+05     2.64989e-25
3.96644e+05     2.54156e-25
4.20615e+05     2.44552e-25
4.46034e+05     2.34497e-25
4.72990e+05     2.25421e-25
5.01574e+05     2.15857e-25
5.31886e+05     2.07298e-25
5.64030e+05     1.98294e-25
5.98117e+05     1.90131e-25
6.34263e+05     1.81593e-25
6.72594e+05     1.73788e-25
7.13242e+05     1.65675e-25
7.56346e+05     1.58222e-25
8.02055e+05     1.50524e-25
8.50526e+05     1.43428e-25
9.01927e+05     1.36119e-25
9.56434e+05     1.29237e-25
1.01424e+06     1.22207e-25
1.07553e+06     1.15624e-25
1.14053e+06     1.08955e-25
1.20945e+06     1.02712e-25
1.28255e+06     9.64318e-26
1.36006e+06     9.05297e-26
1.44225e+06     8.46365e-26
1.52941e+06     7.90721e-26
1.62184e+06     7.35640e-26
1.71985e+06     6.83479e-26
1.82379e+06     6.31849e-26
1.93401e+06     5.82112e-26
2.05089e+06     5.33966e-26
2.17483e+06     4.88277e-26
2.30627e+06     4.44674e-26
2.44564e+06     4.03295e-26
2.59344e+06     3.64399e-26
2.75017e+06     3.27443e-26
2.91638e+06     2.93260e-26
3.09263e+06     2.60708e-26
3.27953e+06     2.31122e-26
3.47772e+06     2.02857e-26
3.68789e+06     1.77410e-26
3.91077e+06     1.52841e-26
4.14711e+06     1.31647e-26
4.39774e+06     1.11354e-26
4.66351e+06     9.44431e-27
4.94534e+06     7.82269e-27
5.24421e+06     6.53420e-27
5.56114e+06     5.29875e-27
5.89722e+06     4.34363e-27
6.25361e+06     3.41640e-27
6.63154e+06     2.75650e-27
7.03231e+06     2.11632e-27
7.45730e+06     1.69771e-27
7.90798e+06     1.28825e-27
8.38589e+06     1.05010e-27
8.89268e+06     8.14139e-28
9.43010e+06     7.08073e-28
1.00000e+07     6.01454e-28
