#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     5.00018e-26
3.25616e+04     4.61448e-26
3.53420e+04     4.25090e-26
3.83597e+04     3.92824e-26
4.16351e+04     3.61973e-26
4.51902e+04     3.32626e-26
4.90489e+04     3.06228e-26
5.32370e+04     2.81777e-26
5.77828e+04     2.58500e-26
6.27167e+04     2.36797e-26
6.80719e+04     2.17608e-26
7.38843e+04     1.99303e-26
8.01931e+04     1.81941e-26
8.70405e+04     1.66563e-26
9.44727e+04     1.52326e-26
1.02539e+05     1.38845e-26
1.11295e+05     1.26414e-26
1.20798e+05     1.15446e-26
1.31113e+05     1.05057e-26
1.42308e+05     9.52774e-27
1.54459e+05     8.67103e-27
1.67648e+05     7.87939e-27
1.81963e+05     7.13537e-27
1.97500e+05     6.45932e-27
2.14364e+05     5.86494e-27
2.32668e+05     5.30585e-27
2.52535e+05     4.78366e-27
2.74098e+05     4.33545e-27
2.97503e+05     3.92128e-27
3.22906e+05     3.53480e-27
3.50478e+05     3.18918e-27
3.80404e+05     2.88649e-27
4.12885e+05     2.60402e-27
4.48140e+05     2.34253e-27
4.86406e+05     2.12217e-27
5.27939e+05     1.91882e-27
5.73018e+05     1.73054e-27
6.21946e+05     1.56442e-27
6.75052e+05     1.41963e-27
7.32693e+05     1.28573e-27
7.95255e+05     1.16303e-27
8.63160e+05     1.06135e-27
9.36863e+05     9.67206e-28
1.01686e+06     8.80449e-28
1.10369e+06     8.04935e-28
1.19793e+06     7.38692e-28
1.30021e+06     6.77481e-28
1.41123e+06     6.21575e-28
1.53174e+06     5.74847e-28
1.66253e+06     5.31192e-28
1.80448e+06     4.90730e-28
1.95856e+06     4.55410e-28
2.12580e+06     4.23936e-28
2.30731e+06     3.94594e-28
2.50433e+06     3.67615e-28
2.71817e+06     3.44263e-28
2.95026e+06     3.22130e-28
3.20218e+06     3.01246e-28
3.47560e+06     2.82528e-28
3.77237e+06     2.65152e-28
4.09448e+06     2.48507e-28
4.44410e+06     2.32802e-28
4.82357e+06     2.18833e-28
5.23544e+06     2.05288e-28
5.68248e+06     1.92164e-28
6.16769e+06     1.80029e-28
6.69433e+06     1.68457e-28
7.26594e+06     1.57179e-28
7.88636e+06     1.46381e-28
8.55975e+06     1.36387e-28
9.29064e+06     1.26543e-28
1.00839e+07     1.16863e-28
1.09450e+07     1.07867e-28
1.18795e+07     9.92073e-29
1.28939e+07     9.07426e-29
1.39949e+07     8.26513e-29
1.51898e+07     7.51664e-29
1.64869e+07     6.78903e-29
1.78946e+07     6.08417e-29
1.94226e+07     5.43443e-29
2.10810e+07     4.81805e-29
2.28811e+07     4.22778e-29
2.48348e+07     3.68312e-29
2.69554e+07     3.19676e-29
2.92570e+07     2.73803e-29
3.17552e+07     2.30956e-29
3.44667e+07     1.94848e-29
3.74097e+07     1.61527e-29
4.06040e+07     1.30900e-29
4.40711e+07     1.04845e-29
4.78342e+07     8.34331e-30
5.19186e+07     6.46873e-30
5.63518e+07     4.87361e-30
6.11635e+07     3.70626e-30
6.63861e+07     2.74273e-30
7.20546e+07     1.97143e-30
7.82071e+07     1.44217e-30
8.48850e+07     1.09204e-30
9.21330e+07     8.43471e-31
1.00000e+08     6.91082e-31
