#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     2.84496e-20
3.03671e+04     2.77471e-20
3.07386e+04     2.70359e-20
3.11147e+04     2.63160e-20
3.14954e+04     2.55874e-20
3.18808e+04     2.49638e-20
3.22709e+04     2.43896e-20
3.26657e+04     2.38083e-20
3.30654e+04     2.32199e-20
3.34700e+04     2.26243e-20
3.38795e+04     2.20215e-20
3.42941e+04     2.14112e-20
3.47137e+04     2.07935e-20
3.51384e+04     2.01682e-20
3.55683e+04     1.95635e-20
3.60035e+04     1.90640e-20
3.64441e+04     1.85584e-20
3.68900e+04     1.80466e-20
3.73414e+04     1.75286e-20
3.77983e+04     1.70042e-20
3.82607e+04     1.64733e-20
3.87289e+04     1.59360e-20
3.92027e+04     1.53922e-20
3.96824e+04     1.48416e-20
4.01680e+04     1.43932e-20
4.06594e+04     1.39790e-20
4.11569e+04     1.35596e-20
4.16605e+04     1.31352e-20
4.21702e+04     1.27055e-20
4.26862e+04     1.22706e-20
4.32085e+04     1.18304e-20
4.37372e+04     1.13847e-20
4.42723e+04     1.09337e-20
4.48140e+04     1.05122e-20
4.53624e+04     1.01820e-20
4.59174e+04     9.84788e-21
4.64792e+04     9.50963e-21
4.70479e+04     9.16725e-21
4.76236e+04     8.82067e-21
4.82063e+04     8.46986e-21
4.87961e+04     8.11475e-21
4.93932e+04     7.75529e-21
4.99975e+04     7.39144e-21
5.06093e+04     7.11939e-21
5.12285e+04     6.86808e-21
5.18553e+04     6.61370e-21
5.24898e+04     6.35620e-21
5.31321e+04     6.09555e-21
5.37822e+04     5.83171e-21
5.44402e+04     5.56465e-21
5.51063e+04     5.29431e-21
5.57806e+04     5.02067e-21
5.64631e+04     4.77474e-21
5.71539e+04     4.58807e-21
5.78533e+04     4.39912e-21
5.85611e+04     4.20785e-21
5.92777e+04     4.01425e-21
6.00030e+04     3.81828e-21
6.07371e+04     3.61990e-21
6.14803e+04     3.41911e-21
6.22325e+04     3.21585e-21
6.29940e+04     3.01011e-21
6.37648e+04     2.87290e-21
6.45450e+04     2.74495e-21
6.53347e+04     2.61544e-21
6.61341e+04     2.48434e-21
6.69433e+04     2.35164e-21
6.77624e+04     2.21731e-21
6.85915e+04     2.08134e-21
6.94308e+04     1.94371e-21
7.02803e+04     1.80439e-21
7.11402e+04     1.68815e-21
7.20106e+04     1.60780e-21
7.28917e+04     1.52647e-21
7.37836e+04     1.44414e-21
7.46864e+04     1.36081e-21
7.56002e+04     1.27646e-21
7.65252e+04     1.19107e-21
7.74616e+04     1.10464e-21
7.84094e+04     1.01716e-21
7.93687e+04     9.28599e-22
8.03399e+04     8.82339e-22
8.13229e+04     8.38614e-22
8.23179e+04     7.94354e-22
8.33251e+04     7.49552e-22
8.43447e+04     7.04203e-22
8.53767e+04     6.58298e-22
8.64213e+04     6.11832e-22
8.74787e+04     5.64797e-22
8.85491e+04     5.17187e-22
8.96325e+04     4.83664e-22
9.07292e+04     4.66589e-22
9.18393e+04     4.49305e-22
9.29631e+04     4.31810e-22
9.41005e+04     4.14100e-22
9.52519e+04     3.96174e-22
9.64173e+04     3.78028e-22
9.75971e+04     3.59661e-22
9.87912e+04     3.41068e-22
1.00000e+05     3.22248e-22
