#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	7.15965e-24
3.16286e+04	6.74936e-24
3.33455e+04	6.41562e-24
3.51557e+04	6.06377e-24
3.70641e+04	5.76298e-24
3.90761e+04	5.46093e-24
4.11974e+04	5.18947e-24
4.34338e+04	4.92935e-24
4.57916e+04	4.68489e-24
4.82774e+04	4.46147e-24
5.08981e+04	4.24205e-24
5.36611e+04	4.05060e-24
5.65741e+04	3.85412e-24
5.96453e+04	3.68923e-24
6.28831e+04	3.51539e-24
6.62967e+04	3.37223e-24
6.98956e+04	3.22405e-24
7.36899e+04	3.09420e-24
7.76902e+04	2.96587e-24
8.19076e+04	2.84796e-24
8.63540e+04	2.73649e-24
9.10417e+04	2.62914e-24
9.59839e+04	2.53135e-24
1.01194e+05	2.43311e-24
1.06688e+05	2.34655e-24
1.12479e+05	2.25620e-24
1.18585e+05	2.17960e-24
1.25023e+05	2.09883e-24
1.31809e+05	2.02849e-24
1.38965e+05	1.95659e-24
1.46508e+05	1.89069e-24
1.54462e+05	1.82574e-24
1.62847e+05	1.76350e-24
1.71687e+05	1.70391e-24
1.81007e+05	1.64477e-24
1.90833e+05	1.58985e-24
2.01192e+05	1.53354e-24
2.12114e+05	1.48282e-24
2.23628e+05	1.42936e-24
2.35768e+05	1.38209e-24
2.48567e+05	1.33244e-24
2.62060e+05	1.28676e-24
2.76286e+05	1.24029e-24
2.91284e+05	1.19598e-24
3.07097e+05	1.15215e-24
3.23768e+05	1.10900e-24
3.41343e+05	1.06738e-24
3.59873e+05	1.02524e-24
3.79409e+05	9.85653e-25
4.00005e+05	9.44484e-25
4.21720e+05	9.06919e-25
4.44613e+05	8.67315e-25
4.68748e+05	8.31370e-25
4.94194e+05	7.94039e-25
5.21022e+05	7.58651e-25
5.49305e+05	7.22807e-25
5.79125e+05	6.88184e-25
6.10562e+05	6.54261e-25
6.43707e+05	6.20594e-25
6.78650e+05	5.88614e-25
7.15491e+05	5.55981e-25
7.54331e+05	5.25973e-25
7.95280e+05	4.94461e-25
8.38452e+05	4.66454e-25
8.83968e+05	4.36926e-25
9.31954e+05	4.10174e-25
9.82545e+05	3.82787e-25
1.03588e+06	3.56887e-25
1.09212e+06	3.31096e-25
1.15140e+06	3.06383e-25
1.21390e+06	2.82972e-25
1.27980e+06	2.59811e-25
1.34928e+06	2.38827e-25
1.42252e+06	2.17326e-25
1.49974e+06	1.98757e-25
1.58116e+06	1.79180e-25
1.66699e+06	1.62798e-25
1.75748e+06	1.45725e-25
1.85289e+06	1.30959e-25
1.95347e+06	1.16334e-25
2.05952e+06	1.03044e-25
2.17132e+06	9.04844e-26
2.28919e+06	7.87510e-26
2.41346e+06	6.84922e-26
2.54447e+06	5.84556e-26
2.68260e+06	5.03367e-26
2.82822e+06	4.19684e-26
2.98175e+06	3.58691e-26
3.14362e+06	2.94387e-26
3.31427e+06	2.46750e-26
3.49418e+06	1.99099e-26
3.68386e+06	1.62736e-26
3.88384e+06	1.30172e-26
4.09468e+06	1.03869e-26
4.31696e+06	8.33419e-27
4.55130e+06	6.55616e-27
4.79837e+06	5.39963e-27
5.05885e+06	4.31465e-27
5.33347e+06	3.80835e-27
5.62300e+06	3.27457e-27
