#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     1.27751e-20
3.05445e+04     1.24839e-20
3.10988e+04     1.21875e-20
3.16632e+04     1.18865e-20
3.22378e+04     1.16251e-20
3.28229e+04     1.13589e-20
3.34186e+04     1.10879e-20
3.40251e+04     1.08120e-20
3.46426e+04     1.05310e-20
3.52713e+04     1.02450e-20
3.59114e+04     9.98524e-21
3.65631e+04     9.74052e-21
3.72267e+04     9.49136e-21
3.79023e+04     9.23768e-21
3.85902e+04     8.97939e-21
3.92905e+04     8.71642e-21
4.00036e+04     8.45959e-21
4.07296e+04     8.23834e-21
4.14688e+04     8.01307e-21
4.22214e+04     7.78371e-21
4.29876e+04     7.55019e-21
4.37678e+04     7.31243e-21
4.45621e+04     7.07035e-21
4.53708e+04     6.86403e-21
4.61942e+04     6.66324e-21
4.70326e+04     6.45881e-21
4.78861e+04     6.25066e-21
4.87552e+04     6.03874e-21
4.96400e+04     5.82297e-21
5.05409e+04     5.62269e-21
5.14582e+04     5.44665e-21
5.23920e+04     5.26742e-21
5.33429e+04     5.08493e-21
5.43110e+04     4.89913e-21
5.52966e+04     4.70996e-21
5.63002e+04     4.51787e-21
5.73219e+04     4.36680e-21
5.83622e+04     4.21299e-21
5.94214e+04     4.05639e-21
6.04998e+04     3.89694e-21
6.15978e+04     3.73460e-21
6.27157e+04     3.56932e-21
6.38539e+04     3.42432e-21
6.50127e+04     3.29167e-21
6.61926e+04     3.15662e-21
6.73939e+04     3.01912e-21
6.86170e+04     2.87913e-21
6.98623e+04     2.73659e-21
7.11302e+04     2.59956e-21
7.24211e+04     2.49091e-21
7.37354e+04     2.38029e-21
7.50736e+04     2.26767e-21
7.64361e+04     2.15300e-21
7.78233e+04     2.03625e-21
7.92356e+04     1.91738e-21
8.06736e+04     1.82441e-21
8.21377e+04     1.73648e-21
8.36284e+04     1.64695e-21
8.51461e+04     1.55580e-21
8.66914e+04     1.46300e-21
8.82647e+04     1.36851e-21
8.98666e+04     1.28511e-21
9.14975e+04     1.21903e-21
9.31581e+04     1.15175e-21
9.48487e+04     1.08325e-21
9.65701e+04     1.01350e-21
9.83227e+04     9.42489e-22
1.00107e+05     8.70327e-22
1.01924e+05     8.21124e-22
1.03774e+05     7.71028e-22
1.05657e+05     7.20023e-22
1.07574e+05     6.68092e-22
1.09527e+05     6.15219e-22
1.11515e+05     5.61386e-22
1.13538e+05     5.19673e-22
1.15599e+05     4.85845e-22
1.17697e+05     4.51404e-22
1.19833e+05     4.16337e-22
1.22008e+05     3.80634e-22
1.24222e+05     3.44284e-22
1.26476e+05     3.10595e-22
1.28772e+05     2.89419e-22
1.31109e+05     2.67858e-22
1.33488e+05     2.45906e-22
1.35911e+05     2.23556e-22
1.38377e+05     2.00800e-22
1.40889e+05     1.77632e-22
1.43445e+05     1.63803e-22
1.46049e+05     1.52150e-22
1.48699e+05     1.40285e-22
1.51398e+05     1.28205e-22
1.54146e+05     1.15906e-22
1.56943e+05     1.03384e-22
1.59791e+05     9.39588e-23
1.62691e+05     8.93705e-23
1.65644e+05     8.46989e-23
1.68650e+05     7.99426e-23
1.71711e+05     7.50999e-23
1.74827e+05     7.01693e-23
1.78000e+05     6.51492e-23
