#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	3.97426e-25
3.21851e+04	3.67591e-25
3.45294e+04	3.40673e-25
3.70445e+04	3.15465e-25
3.97427e+04	2.90820e-25
4.26375e+04	2.69678e-25
4.57432e+04	2.48745e-25
4.90750e+04	2.29557e-25
5.26495e+04	2.12030e-25
5.64844e+04	1.94820e-25
6.05986e+04	1.80058e-25
6.50125e+04	1.65693e-25
6.97479e+04	1.52341e-25
7.48282e+04	1.40474e-25
8.02785e+04	1.28832e-25
8.61259e+04	1.18698e-25
9.23991e+04	1.09087e-25
9.91293e+04	1.00014e-25
1.06350e+05	9.21806e-26
1.14096e+05	8.44991e-26
1.22406e+05	7.77269e-26
1.31322e+05	7.14647e-26
1.40888e+05	6.54377e-26
1.51150e+05	6.04070e-26
1.62159e+05	5.54770e-26
1.73970e+05	5.10680e-26
1.86642e+05	4.71027e-26
2.00237e+05	4.32554e-26
2.14821e+05	4.00519e-26
2.30469e+05	3.69583e-26
2.47256e+05	3.41448e-26
2.65265e+05	3.16820e-26
2.84587e+05	2.92886e-26
3.05315e+05	2.72531e-26
3.27554e+05	2.53321e-26
3.51412e+05	2.35430e-26
3.77008e+05	2.20189e-26
4.04469e+05	2.05340e-26
4.33930e+05	1.92444e-26
4.65536e+05	1.80504e-26
4.99445e+05	1.69072e-26
5.35824e+05	1.59448e-26
5.74852e+05	1.49990e-26
6.16723e+05	1.41492e-26
6.61644e+05	1.33723e-26
7.09837e+05	1.26123e-26
7.61540e+05	1.19666e-26
8.17009e+05	1.13307e-26
8.76518e+05	1.07368e-26
9.40362e+05	1.01959e-26
1.00886e+06	9.66021e-27
1.08234e+06	9.18530e-27
1.16117e+06	8.72402e-27
1.24575e+06	8.28160e-27
1.33649e+06	7.88013e-27
1.43384e+06	7.47787e-27
1.53828e+06	7.10429e-27
1.65032e+06	6.74288e-27
1.77053e+06	6.38528e-27
1.89949e+06	6.05851e-27
2.03784e+06	5.72832e-27
2.18628e+06	5.41387e-27
2.34552e+06	5.11157e-27
2.51636e+06	4.80698e-27
2.69965e+06	4.53002e-27
2.89629e+06	4.25085e-27
3.10725e+06	3.98075e-27
3.33357e+06	3.72542e-27
3.57638e+06	3.46809e-27
3.83688e+06	3.23055e-27
4.11635e+06	2.99518e-27
4.41618e+06	2.76494e-27
4.73784e+06	2.55183e-27
5.08294e+06	2.33770e-27
5.45317e+06	2.13983e-27
5.85037e+06	1.94742e-27
6.27650e+06	1.75700e-27
6.73367e+06	1.58714e-27
7.22413e+06	1.41806e-27
7.75032e+06	1.26297e-27
8.31484e+06	1.11902e-27
8.92048e+06	9.77489e-28
9.57023e+06	8.58278e-28
1.02673e+07	7.41772e-28
1.10152e+07	6.36431e-28
1.18175e+07	5.42178e-28
1.26782e+07	4.50574e-28
1.36017e+07	3.76537e-28
1.45924e+07	3.07949e-28
1.56553e+07	2.47412e-28
1.67956e+07	1.99847e-28
1.80190e+07	1.55666e-28
1.93314e+07	1.21871e-28
2.07395e+07	9.32929e-29
2.22501e+07	6.91385e-29
2.38708e+07	5.34514e-29
2.56095e+07	3.97946e-29
2.74748e+07	3.10353e-29
2.94760e+07	2.51791e-29
3.16230e+07	2.09816e-29
