#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     7.50101e-21
3.06329e+04     7.34864e-21
3.12792e+04     7.19306e-21
3.19391e+04     7.03420e-21
3.26129e+04     6.87198e-21
3.33009e+04     6.70635e-21
3.40034e+04     6.55629e-21
3.47208e+04     6.40960e-21
3.54533e+04     6.25981e-21
3.62013e+04     6.10686e-21
3.69650e+04     5.95069e-21
3.77448e+04     5.79730e-21
3.85411e+04     5.66094e-21
3.93542e+04     5.52171e-21
4.01845e+04     5.37953e-21
4.10323e+04     5.23436e-21
4.18979e+04     5.08613e-21
4.27818e+04     4.95123e-21
4.36844e+04     4.82002e-21
4.46060e+04     4.68604e-21
4.55470e+04     4.54923e-21
4.65079e+04     4.40954e-21
4.74891e+04     4.27209e-21
4.84910e+04     4.15224e-21
4.95140e+04     4.02986e-21
5.05586e+04     3.90491e-21
5.16252e+04     3.77731e-21
5.27143e+04     3.64703e-21
5.38264e+04     3.53145e-21
5.49620e+04     3.42139e-21
5.61215e+04     3.30901e-21
5.73055e+04     3.19426e-21
5.85145e+04     3.07709e-21
5.97490e+04     2.96167e-21
6.10095e+04     2.86400e-21
6.22966e+04     2.76426e-21
6.36108e+04     2.66242e-21
6.49528e+04     2.55844e-21
6.63231e+04     2.45226e-21
6.77223e+04     2.35909e-21
6.91511e+04     2.27189e-21
7.06099e+04     2.18285e-21
7.20996e+04     2.09194e-21
7.36207e+04     1.99910e-21
7.51738e+04     1.90748e-21
7.67598e+04     1.83269e-21
7.83791e+04     1.75633e-21
8.00327e+04     1.67836e-21
8.17211e+04     1.59874e-21
8.34452e+04     1.51745e-21
8.52056e+04     1.44640e-21
8.70032e+04     1.38092e-21
8.88387e+04     1.31406e-21
9.07129e+04     1.24579e-21
9.26267e+04     1.17608e-21
9.45808e+04     1.10709e-21
9.65762e+04     1.05352e-21
9.86136e+04     9.98826e-22
1.00694e+05     9.42974e-22
1.02818e+05     8.85944e-22
1.04988e+05     8.27711e-22
1.07202e+05     7.78624e-22
1.09464e+05     7.35438e-22
1.11773e+05     6.91341e-22
1.14131e+05     6.46314e-22
1.16539e+05     6.00337e-22
1.18998e+05     5.54738e-22
1.21508e+05     5.22426e-22
1.24072e+05     4.89433e-22
1.26689e+05     4.55744e-22
1.29362e+05     4.21344e-22
1.32091e+05     3.86218e-22
1.34878e+05     3.57193e-22
1.37723e+05     3.32715e-22
1.40629e+05     3.07720e-22
1.43596e+05     2.82198e-22
1.46625e+05     2.56138e-22
1.49719e+05     2.30137e-22
1.52877e+05     2.13564e-22
1.56102e+05     1.96642e-22
1.59396e+05     1.79363e-22
1.62758e+05     1.61719e-22
1.66192e+05     1.43703e-22
1.69698e+05     1.29712e-22
1.73278e+05     1.19163e-22
1.76934e+05     1.08392e-22
1.80667e+05     9.73928e-23
1.84478e+05     8.61621e-23
1.88370e+05     7.48670e-23
1.92344e+05     6.91563e-23
1.96402e+05     6.33252e-23
2.00545e+05     5.73710e-23
2.04776e+05     5.12912e-23
2.09096e+05     4.50832e-23
2.13508e+05     4.08481e-23
2.18012e+05     3.85296e-23
2.22611e+05     3.61622e-23
2.27308e+05     3.37448e-23
2.32103e+05     3.12764e-23
2.37000e+05     2.87560e-23
