#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04     4.17003e-21
3.07221e+04     4.08278e-21
3.14615e+04     3.99342e-21
3.22187e+04     3.91214e-21
3.29942e+04     3.83126e-21
3.37883e+04     3.74843e-21
3.46015e+04     3.66360e-21
3.54343e+04     3.57673e-21
3.62871e+04     3.50002e-21
3.71605e+04     3.42179e-21
3.80549e+04     3.34167e-21
3.89708e+04     3.25963e-21
3.99088e+04     3.17726e-21
4.08693e+04     3.10372e-21
4.18530e+04     3.02841e-21
4.28603e+04     2.95128e-21
4.38919e+04     2.87230e-21
4.49483e+04     2.79506e-21
4.60301e+04     2.72486e-21
4.71380e+04     2.65298e-21
4.82725e+04     2.57936e-21
4.94344e+04     2.50397e-21
5.06242e+04     2.43256e-21
5.18426e+04     2.36653e-21
5.30904e+04     2.29892e-21
5.43682e+04     2.22967e-21
5.56768e+04     2.15876e-21
5.70168e+04     2.09286e-21
5.83891e+04     2.02970e-21
5.97944e+04     1.96501e-21
6.12336e+04     1.89877e-21
6.27074e+04     1.83094e-21
6.42166e+04     1.77099e-21
6.57622e+04     1.71246e-21
6.73450e+04     1.65253e-21
6.89659e+04     1.59115e-21
7.06258e+04     1.52829e-21
7.23256e+04     1.47523e-21
7.40664e+04     1.42175e-21
7.58491e+04     1.36698e-21
7.76746e+04     1.31090e-21
7.95441e+04     1.25450e-21
8.14586e+04     1.20747e-21
8.34192e+04     1.15930e-21
8.54270e+04     1.10998e-21
8.74830e+04     1.05946e-21
8.95886e+04     1.01050e-21
9.17449e+04     9.68831e-22
9.39530e+04     9.26158e-22
9.62143e+04     8.82458e-22
9.85300e+04     8.37706e-22
1.00901e+05     7.96178e-22
1.03330e+05     7.59976e-22
1.05817e+05     7.22901e-22
1.08364e+05     6.84935e-22
1.10972e+05     6.46054e-22
1.13643e+05     6.11359e-22
1.16378e+05     5.79788e-22
1.19179e+05     5.47457e-22
1.22048e+05     5.14348e-22
1.24985e+05     4.80441e-22
1.27993e+05     4.52385e-22
1.31074e+05     4.26196e-22
1.34229e+05     3.99378e-22
1.37459e+05     3.71914e-22
1.40768e+05     3.43789e-22
1.44156e+05     3.22346e-22
1.47625e+05     3.01352e-22
1.51178e+05     2.79852e-22
1.54817e+05     2.57834e-22
1.58543e+05     2.35619e-22
1.62359e+05     2.20067e-22
1.66267e+05     2.04142e-22
1.70269e+05     1.87833e-22
1.74367e+05     1.71131e-22
1.78563e+05     1.55195e-22
1.82861e+05     1.43487e-22
1.87262e+05     1.31497e-22
1.91769e+05     1.19218e-22
1.96385e+05     1.06644e-22
2.01112e+05     9.56083e-23
2.05952e+05     8.75764e-23
2.10909e+05     7.93511e-23
2.15985e+05     7.09278e-23
2.21184e+05     6.23018e-23
2.26507e+05     5.54876e-23
2.31959e+05     5.03784e-23
2.37542e+05     4.51463e-23
2.43259e+05     3.97882e-23
2.49114e+05     3.43012e-23
2.55109e+05     3.06553e-23
2.61250e+05     2.78547e-23
2.67537e+05     2.49867e-23
2.73977e+05     2.20496e-23
2.80571e+05     1.90419e-23
2.87324e+05     1.76206e-23
2.94239e+05     1.64831e-23
3.01321e+05     1.53182e-23
3.08573e+05     1.41253e-23
3.16000e+05     1.29036e-23
