#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	1.14079e-21
3.09012e+04	1.11868e-21
3.18296e+04	1.09663e-21
3.27858e+04	1.07623e-21
3.37707e+04	1.05521e-21
3.47852e+04	1.03357e-21
3.58302e+04	1.01228e-21
3.69066e+04	9.92231e-22
3.80153e+04	9.71583e-22
3.91574e+04	9.50314e-22
4.03337e+04	9.29715e-22
4.15454e+04	9.10049e-22
4.27935e+04	8.89791e-22
4.40791e+04	8.68925e-22
4.54033e+04	8.49169e-22
4.67672e+04	8.30140e-22
4.81722e+04	8.10540e-22
4.96194e+04	7.90351e-22
5.11100e+04	7.71323e-22
5.26454e+04	7.52560e-22
5.42270e+04	7.33234e-22
5.58560e+04	7.13327e-22
5.75340e+04	6.95045e-22
5.92624e+04	6.76806e-22
6.10427e+04	6.58018e-22
6.28765e+04	6.38665e-22
6.47655e+04	6.21311e-22
6.67111e+04	6.03717e-22
6.87152e+04	5.85594e-22
7.07795e+04	5.66965e-22
7.29058e+04	5.50597e-22
7.50960e+04	5.33737e-22
7.73520e+04	5.16371e-22
7.96758e+04	4.98830e-22
8.20693e+04	4.83255e-22
8.45348e+04	4.67212e-22
8.70744e+04	4.50688e-22
8.96902e+04	4.34319e-22
9.23846e+04	4.19626e-22
9.51600e+04	4.04491e-22
9.80187e+04	3.88902e-22
1.00963e+05	3.73709e-22
1.03996e+05	3.59731e-22
1.07121e+05	3.45334e-22
1.10339e+05	3.30504e-22
1.13653e+05	3.16479e-22
1.17068e+05	3.03554e-22
1.20585e+05	2.90240e-22
1.24207e+05	2.76527e-22
1.27939e+05	2.63922e-22
1.31782e+05	2.52125e-22
1.35741e+05	2.39975e-22
1.39819e+05	2.27459e-22
1.44019e+05	2.16331e-22
1.48346e+05	2.05728e-22
1.52802e+05	1.94806e-22
1.57393e+05	1.83557e-22
1.62121e+05	1.73931e-22
1.66991e+05	1.64559e-22
1.72008e+05	1.54905e-22
1.77175e+05	1.44962e-22
1.82498e+05	1.36824e-22
1.87980e+05	1.28688e-22
1.93628e+05	1.20308e-22
1.99444e+05	1.11690e-22
2.05436e+05	1.04782e-22
2.11608e+05	9.76668e-23
2.17965e+05	9.03378e-23
2.24513e+05	8.30284e-23
2.31257e+05	7.73345e-23
2.38205e+05	7.14696e-23
2.45361e+05	6.54285e-23
2.52732e+05	5.96164e-23
2.60324e+05	5.50452e-23
2.68144e+05	5.03365e-23
2.76200e+05	4.54865e-23
2.84497e+05	4.10429e-23
2.93044e+05	3.75648e-23
3.01848e+05	3.39821e-23
3.10915e+05	3.02918e-23
3.20256e+05	2.70607e-23
3.29877e+05	2.44449e-23
3.39787e+05	2.17506e-23
3.49994e+05	1.89753e-23
3.60509e+05	1.67448e-23
3.71339e+05	1.49513e-23
3.82495e+05	1.31039e-23
3.93985e+05	1.12011e-23
4.05821e+05	9.81663e-24
4.18013e+05	8.67979e-24
4.30570e+05	7.50880e-24
4.43505e+05	6.30263e-24
4.56829e+05	5.55249e-24
4.70553e+05	4.92134e-24
4.84689e+05	4.27123e-24
4.99249e+05	3.60159e-24
5.14248e+05	3.29978e-24
5.29696e+05	3.03775e-24
5.45609e+05	2.76784e-24
5.62000e+05	2.48983e-24
